userId,movieId,rating,timestamp
428,1097,1.0,1111489772
479,2100,2.0,1039360680
166,7143,4.5,1190828657
368,1589,2.0,975828061
445,64614,4.5,1454621897
489,6367,1.5,1333657400
599,5303,4.0,1498498853
382,79132,5.0,1515160650
438,5299,3.0,1105650185
354,33679,3.5,1200953032
610,58103,3.0,1493849723
489,59725,2.5,1333657081
305,4246,4.5,1460303017
535,2858,5.0,939028383
448,8874,4.0,1118566433
380,6957,4.0,1494267408
334,1196,4.0,1225477656
606,4979,4.0,1171234335
344,114180,3.0,1420495332
381,48,3.0,1165976148
477,60756,4.0,1234150559
428,551,4.0,1111524154
188,830,4.0,962559935
111,128097,4.0,1516156131
318,377,3.5,1270751787
182,3784,3.5,1055155527
428,6283,3.5,1111489915
351,2624,3.5,1326209706
132,4361,3.5,1157978800
514,6296,4.0,1533945149
610,3911,4.5,1493847010
64,111,4.0,1161521289
45,2628,4.0,950740549
339,69122,3.5,1460185208
326,92259,5.0,1419880461
599,34811,2.5,1498517271
387,6874,4.0,1123313520
570,2628,3.5,1181477428
600,4975,3.5,1237743446
140,1957,5.0,942841652
122,8874,5.0,1461561501
387,3627,3.5,1184481303
294,2447,4.0,966596438
599,370,2.5,1498516739
392,2707,3.0,1027524290
156,923,5.0,939884805
76,1080,4.5,1439167537
542,4446,3.5,1163388410
469,3072,4.0,965333459
555,2474,3.0,978822601
177,4008,3.0,1435535994
599,94864,3.5,1498542492
275,3134,2.0,1049078197
84,1269,4.0,860397207
339,166946,4.5,1504908952
600,1230,5.0,1237710341
594,5105,0.5,1108950693
599,1077,3.0,1519137221
10,81845,5.0,1455302591
226,480,4.0,1095662485
21,51084,3.5,1417378446
603,1754,3.0,963177670
21,480,4.0,1418063303
109,778,4.0,841441442
474,3481,5.0,974666694
184,168090,4.0,1537107995
405,8950,4.0,1298431769
233,122920,2.0,1529333366
198,364,4.0,1034207302
469,1238,5.0,965425364
534,64695,4.0,1459792399
275,1625,5.0,1049078987
96,3578,4.0,964772750
265,2289,3.0,965316218
558,555,3.0,1035415992
378,109487,4.5,1445347872
610,88163,4.0,1493845317
428,1020,2.0,1111623927
222,2403,3.5,1391354227
380,8370,3.0,1494613399
448,1704,4.0,1081171097
524,913,3.0,851609623
589,373,4.0,856045612
58,500,3.0,847718657
109,1032,3.0,841152033
600,1674,3.0,1237742534
96,1587,2.0,964774275
553,3949,5.0,1230775318
22,66097,2.0,1268726278
387,177,3.0,1179199967
576,1261,3.0,1358151531
68,4356,3.5,1158534278
606,780,2.5,1173644144
167,1385,2.0,1154719268
298,65261,3.0,1447517066
140,266,3.0,942842894
62,143355,3.5,1521490047
42,1302,4.0,996258272
590,4367,2.0,1267150717
200,44665,4.5,1229887404
525,1639,3.5,1476477570
91,1380,2.0,1112713666
331,54503,5.0,1537157968
18,51662,3.5,1455049725
355,3548,4.0,974966389
606,916,4.5,1171326349
233,778,3.5,1532964883
567,182823,1.0,1525289422
564,6155,3.0,1478451840
89,121007,4.0,1520408968
76,6016,3.0,1439165680
448,97752,3.0,1392467584
592,355,3.0,837350419
391,1408,4.0,1031030726
601,176371,4.0,1521397623
462,1952,5.0,1293373028
438,135,3.0,1105667348
307,6425,1.0,1186258652
600,8910,5.0,1237743078
480,3968,3.5,1179165817
33,1614,2.0,939719185
182,5995,4.5,1054780324
248,102903,4.5,1534591663
186,1346,4.0,1031073355
438,3753,4.0,1105669987
372,556,3.0,874416493
470,500,4.0,849075299
255,223,2.0,1005717313
380,95875,3.0,1493420881
357,1267,4.0,1348611109
274,56715,3.5,1288866184
122,96079,4.5,1461561540
354,3176,4.0,1200870814
121,288,4.0,847655996
448,136666,1.0,1462023798
587,3388,3.0,953137416
414,135,2.0,961439433
179,344,3.0,840907370
380,839,2.0,1493668047
474,4447,4.0,1014924360
509,33162,3.0,1435994581
450,3363,4.0,974705828
367,3755,4.0,997813797
187,1089,4.5,1161849370
292,2761,5.0,1015374932
